fid_1,survey,transect,diameter,scoped,distance,tortoise
225,Sansavilla_WMA,70,30,Y,20.67480605,1
226,Sansavilla_WMA,70,6,Y,7.467739017,1
227,Sansavilla_WMA,70,35,Y,20.78527371,0
228,Sansavilla_WMA,70,38,Y,0.570993679,1
229,Sansavilla_WMA,70,36,Y,12.07255988,1
230,Sansavilla_WMA,70,11,Y,10.10947927,1
231,Sansavilla_WMA,70,31,Y,22.74637654,1
232,Sansavilla_WMA,70,35,Y,11.18512906,0
233,Sansavilla_WMA,70,10,Y,2.812464949,0
234,Sansavilla_WMA,70,6,Y,0.759484373,0
235,Sansavilla_WMA,70,18,Y,23.47955789,0
236,Sansavilla_WMA,70,16,Y,1.49012708,1
237,Sansavilla_WMA,70,28,Y,0.409638933,0
238,Sansavilla_WMA,70,32,Y,15.44336466,0
239,Sansavilla_WMA,70,35,Y,3.893239994,0
240,Sansavilla_WMA,70,9,Y,0.111811977,1
241,Sansavilla_WMA,68,14,Y,9.839636716,0
242,Sansavilla_WMA,68,17,Y,11.86164045,1
243,Sansavilla_WMA,68,20,Y,3.968780381,0
244,Sansavilla_WMA,68,32,Y,23.64553982,0
245,Sansavilla_WMA,70,32,Y,10.67129295,0
246,Sansavilla_WMA,70,32,Y,11.71273505,0
247,Sansavilla_WMA,69,35,Y,1.942705318,0
248,Sansavilla_WMA,69,35,Y,23.05010419,0
249,Sansavilla_WMA,69,33,Y,20.45489209,0
